date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
365,2016-12-03,Chicago Blackhawks,Philadelphia Flyers,1,3,
366,2016-12-03,Detroit Red Wings,Pittsburgh Penguins,3,5,
367,2016-12-03,Winnipeg Jets,St. Louis Blues,3,2,OT
368,2016-12-03,Washington Capitals,Tampa Bay Lightning,1,2,SO
369,2016-12-03,Toronto Maple Leafs,Vancouver Canucks,2,3,SO
370,2016-12-04,Tampa Bay Lightning,Carolina Hurricanes,0,1,OT
371,2016-12-04,Anaheim Ducks,Calgary Flames,3,8,
372,2016-12-04,Winnipeg Jets,Chicago Blackhawks,2,1,
373,2016-12-04,Minnesota Wild,Edmonton Oilers,2,1,OT
374,2016-12-04,Montreal Canadiens,Los Angeles Kings,5,4,SO
375,2016-12-04,Philadelphia Flyers,Nashville Predators,4,2,
376,2016-12-04,Detroit Red Wings,New York Islanders,4,3,OT
377,2016-12-05,Florida Panthers,Boston Bruins,3,4,OT
378,2016-12-05,Arizona Coyotes,Columbus Blue Jackets,1,4,
379,2016-12-05,Ottawa Senators,Pittsburgh Penguins,5,8,
380,2016-12-05,Buffalo Sabres,Washington Capitals,2,3,OT
381,2016-12-06,Edmonton Oilers,Buffalo Sabres,3,4,OT
382,2016-12-06,Arizona Coyotes,Chicago Blackhawks,0,4,
383,2016-12-06,Calgary Flames,Dallas Stars,2,1,
384,2016-12-06,Vancouver Canucks,New Jersey Devils,2,3,
385,2016-12-06,Colorado Avalanche,Nashville Predators,3,4,
386,2016-12-06,New York Rangers,New York Islanders,2,4,
387,2016-12-06,Florida Panthers,Philadelphia Flyers,2,3,OT
388,2016-12-06,Montreal Canadiens,St. Louis Blues,2,3,OT
389,2016-12-06,Detroit Red Wings,Winnipeg Jets,4,3,SO
390,2016-12-07,Carolina Hurricanes,Anaheim Ducks,5,6,SO
391,2016-12-07,Ottawa Senators,San Jose Sharks,4,2,
392,2016-12-07,Minnesota Wild,Toronto Maple Leafs,3,2,
393,2016-12-07,Boston Bruins,Washington Capitals,3,4,OT
394,2016-12-08,Calgary Flames,Arizona Coyotes,2,1,OT
395,2016-12-08,Colorado Avalanche,Boston Bruins,4,2,
396,2016-12-08,Nashville Predators,Dallas Stars,2,5,
397,2016-12-08,Pittsburgh Penguins,Florida Panthers,5,1,
398,2016-12-08,Carolina Hurricanes,Los Angeles Kings,3,1,
399,2016-12-08,New Jersey Devils,Montreal Canadiens,2,5,
400,2016-12-08,St. Louis Blues,New York Islanders,2,3,
401,2016-12-08,Edmonton Oilers,Philadelphia Flyers,5,6,
402,2016-12-08,Vancouver Canucks,Tampa Bay Lightning,5,1,
403,2016-12-08,New York Rangers,Winnipeg Jets,2,1,
404,2016-12-09,San Jose Sharks,Anaheim Ducks,2,3,
405,2016-12-09,Washington Capitals,Buffalo Sabres,4,1,
406,2016-12-09,New York Rangers,Chicago Blackhawks,1,0,OT
407,2016-12-09,Columbus Blue Jackets,Detroit Red Wings,4,1,
408,2016-12-09,Edmonton Oilers,Minnesota Wild,2,3,SO
